frame,E_proj
frame_000.pdb,1201.1345878200216
frame_001.pdb,1187.7315289463158
frame_002.pdb,1191.476163092047
frame_003.pdb,1192.524534007598
frame_004.pdb,1210.5632035009812
frame_005.pdb,1202.04328499859
frame_006.pdb,1223.6526482085787
frame_007.pdb,1195.4167628274668
frame_008.pdb,1198.287214909411
frame_009.pdb,1218.5515915281594
frame_010.pdb,1192.0441866814256
frame_011.pdb,1208.229092305509
frame_012.pdb,1187.0818839868148
frame_013.pdb,1191.5561029671387
frame_014.pdb,1210.553321111497
frame_015.pdb,1198.2192140579682
frame_016.pdb,1195.9521152996092
frame_017.pdb,1187.2675421940503
frame_018.pdb,1208.5594082647865
frame_019.pdb,1207.9588427581511
frame_020.pdb,1186.980693004787
frame_021.pdb,1200.9057049961114
frame_022.pdb,1221.3251039757656
frame_023.pdb,1188.3105377142479
frame_024.pdb,1205.3005003349842
frame_025.pdb,1216.5658812050224
frame_026.pdb,1208.1840419046662
frame_027.pdb,1223.8644446319265
frame_028.pdb,1197.3840530413581
frame_029.pdb,1204.2415207578456
frame_030.pdb,1206.3547936352825
frame_031.pdb,1215.9416334747664
frame_032.pdb,1219.9148729978917
frame_033.pdb,1215.9815918805305
frame_034.pdb,1194.925973397708
frame_035.pdb,1212.876957853528
frame_036.pdb,1201.9484247775406
frame_037.pdb,1209.2364572523936
frame_038.pdb,1214.9832140632418
frame_039.pdb,1186.7502177810522
frame_040.pdb,1213.3046763381117
frame_041.pdb,1201.364197987644
frame_042.pdb,1186.8407395597635
frame_043.pdb,1207.5228127089404
frame_044.pdb,1213.8718411483853
frame_045.pdb,1222.6370080859624
frame_046.pdb,1215.4117248225539
frame_047.pdb,1212.062463790837
frame_048.pdb,1208.4945465197372
frame_049.pdb,1209.0027518731022
frame_050.pdb,1202.543409867206
frame_051.pdb,1206.498302393333
frame_052.pdb,1210.048073287225
frame_053.pdb,1196.9312634002245
frame_054.pdb,1196.1748589872027
frame_055.pdb,1187.1457218598248
frame_056.pdb,1211.7904212224462
frame_057.pdb,1207.8865101171086
frame_058.pdb,1194.0947975351542
frame_059.pdb,1191.4619812734607
frame_060.pdb,1211.2573155622388
frame_061.pdb,1203.1645857240776
frame_062.pdb,1198.1742041588307
frame_063.pdb,1216.6825758216694
frame_064.pdb,1210.0732817769
frame_065.pdb,1191.420444426114
frame_066.pdb,1195.988112701508
frame_067.pdb,1217.0462231545241
frame_068.pdb,1214.3276626073832
frame_069.pdb,1192.2542650413523
frame_070.pdb,1214.2177443636085
frame_071.pdb,1224.193411694557
frame_072.pdb,1195.2605047981274
frame_073.pdb,1205.8862278732115
frame_074.pdb,1200.6801318873372
frame_075.pdb,1202.2567430396753
frame_076.pdb,1189.4852023316444
frame_077.pdb,1196.3214020504604
frame_078.pdb,1220.1922352803638
frame_079.pdb,1192.7902455621042
frame_080.pdb,1214.0885014374114
frame_081.pdb,1215.6429122281174
frame_082.pdb,1219.0766558615933
frame_083.pdb,1208.4487795307246
frame_084.pdb,1197.5401935815787
frame_085.pdb,1213.9453904249062
frame_086.pdb,1201.848372304561
frame_087.pdb,1203.7509591688379
frame_088.pdb,1225.0929295701021
frame_089.pdb,1199.8115244909338
frame_090.pdb,1215.6234531450505
frame_091.pdb,1212.1304934624523
frame_092.pdb,1216.4485594412126
frame_093.pdb,1203.5683210619766
frame_094.pdb,1207.539432145152
frame_095.pdb,1217.1042355787304
frame_096.pdb,1205.7181873128357
frame_097.pdb,1187.1289372446647
frame_098.pdb,1215.2723556424583
frame_099.pdb,1208.5262360802299
